Row,Source ID,Category,Title,URL,Alert me when prompt,Cadence,Seasonality,Maintenance,Checked date,Check result,Recheck-by,Source role,Delivery choice,Maintenance owner,Coverage limit
1,1,Trial & pipeline,New Phase 3 obesity studies (ClinicalTrials.gov),https://clinicaltrials.gov/search?cond=Obesity&aggFilters=phase%3A3&sort=StudyFirstPostDate&limit=100,"Alert me when a new Phase 3 obesity study is first posted. Report the NCT number, title, first-posted date, and published recruitment status. Link to the study record.",Daily,Evergreen,"App shell in direct GET; test loaded results, sort, and pagination in browser. Search discovers records; add relevant record URLs separately.",2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
2,2,Trial & pipeline,Trial record example (replace with your NCT),https://clinicaltrials.gov/study/NCT07311850,"Alert me when this record changes recruitment status, primary completion date, enrollment, trial arms, eligibility, primary outcomes, or posted results. Report the changed field and old and new published values where available; retain estimated or actual qualifiers. Link to the record and separate unverified explanations.",Daily,Evergreen,Replace the example NCT with your study. Check loaded fields and document links. The bundled site-count example illustrates a separate country/site rule; include site changes when they matter to your reviewer.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Known record,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
3,3,Trial & pipeline,Pfizer pipeline,https://www.pfizer.com/science/drug-product-pipeline,"Alert me when a program or indication is added or removed, changes phase, or changes published status. Identify the program and the old and new values where shown. Link to the pipeline source.",Weekly,Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
4,4,Trial & pipeline,Novartis pipeline p1,https://www.novartis.com/research-development/novartis-pipeline?page=0,"Alert me when a project or indication is added or removed, changes phase, or changes a published filing date. Identify the project and the old and new values where shown. Link to this pipeline page.",Weekly,Evergreen,Test that page 0 loads its own results and the intended region is captured.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
5,4,Trial & pipeline,Novartis pipeline p2,https://www.novartis.com/research-development/novartis-pipeline?page=1,"Alert me when a project or indication is added or removed, changes phase, or changes a published filing date. Identify the project and the old and new values where shown. Link to this pipeline page.",Weekly,Evergreen,Test that page 1 has different results and is captured separately; prompt is complete in this row.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
6,5,Trial & pipeline,CTIS trial record (example),https://euclinicaltrials.eu/ctis-public/view/2025-523657-34-00,"Alert me when this public trial record changes country status, key dates, or publishes new results or documents. Identify the exact field or document and its published date. Report only information actually visible in the public record; keep explanations separate.",Weekly,Evergreen,App shell in direct GET; test the specific record in browser. Public visibility varies by field and document.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Known record,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
7,6,Regulatory,FDA novel drug approvals 2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,"Alert me when a new entry is added to the 2026 novel drug approvals list. Report the ingredient, approval date, and indication as published, with the source link.",Daily,Annual,Check whether the next annual page is published before changing the URL; do not assume it exists on January 1.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
8,7,Regulatory,FDA advisory committee calendar,https://www.fda.gov/advisory-committees/advisory-committee-calendar,"Alert me when a meeting is added or its date, start time, location, agenda, or briefing-material availability changes for [drug, sponsor, indication, or class]. Report the published old and new values where available and link to the meeting notice.",Daily,Evergreen,HTTP 200 returned application/json in this request path. Confirm the meeting list and individual notice in the stage browser.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
9,8,Regulatory,FDA warning letters,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/compliance-actions-and-activities/warning-letters,"Alert me when a new warning letter involves CDER or CBER and matches [product, company, or issue]. Report its date, subject, and source link. Describe the published issue without inferring an unannounced enforcement outcome.",Daily,Evergreen,Broad source; the prompt does the filtering,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
10,9,Regulatory,EMA news / CHMP outcomes,https://www.ema.europa.eu/en/news,"Alert me when EMA publishes a CHMP opinion or variation-application update in [therapeutic area]. Report the asset, indication, jurisdiction, document status, and publication date. Distinguish an application withdrawal from a change to existing authorization.",Weekly,Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
